Team ID,Year,Rank,At Bats
CHN,2000,1,5577
PHI,2000,1,5511
SFN,2000,30,5519
PIT,2001,1,5398
TBA,2001,1,5524
SEA,2001,30,5680
DET,2002,1,5406
TBA,2002,1,5604
NYA,2002,30,5601
DET,2003,1,5466
NYA,2003,29,5605
ATL,2003,29,5670
ARI,2004,1,5544
SLN,2004,30,5555
KCA,2005,1,5503
SLN,2005,30,5538
TBA,2006,1,5474
NYN,2006,29,5558
NYA,2006,29,5651
TBA,2007,1,5593
CLE,2007,29,5604
BOS,2007,29,5589
WAS,2008,1,5491
LAA,2008,30,5540
WAS,2009,1,5493
NYA,2009,30,5660
PIT,2010,1,5386
PHI,2010,30,5581
HOU,2011,1,5598
PHI,2011,30,5579
HOU,2012,1,5407
WAS,2012,30,5615
HOU,2013,1,5457
SLN,2013,29,5557
BOS,2013,29,5651
ARI,2014,1,5552
LAA,2014,30,5652
PHI,2015,1,5529
SLN,2015,30,5484
MIN,2016,1,5618
CHN,2016,30,5503
